date,plays
2022-06-02,1
2022-06-03,2
2022-06-04,1
2022-06-06,5
2022-06-07,4
2022-06-08,3
2022-06-09,3
2022-06-10,3
2022-06-11,4
2022-06-12,4
2022-06-13,4
2022-06-14,3
2022-06-15,4
2022-06-16,4
2022-06-17,4
2022-06-18,4
2022-06-19,4
2022-06-20,3
2022-06-21,4
2022-06-22,3
2022-06-23,3
2022-06-24,4
2022-06-25,2
2022-06-26,3
2022-06-27,4
2022-06-28,4
2022-06-29,5
2022-06-30,4
2022-07-01,6
2022-07-02,5
2022-07-03,4
2022-07-04,6
2022-07-05,5
2022-07-06,4
2022-07-07,6
2022-07-08,5
2022-07-09,6
2022-07-10,4
2022-07-11,5
2022-07-12,5
2022-07-13,5
2022-07-14,4
