date,plays
2021-03-11,1
2021-03-12,2
2021-03-14,1
2021-03-15,4
2021-03-16,2
2021-03-17,2
2021-03-18,3
2021-03-19,1
2021-03-20,1
2021-03-21,3
2021-03-22,8
2021-03-23,10
2021-03-24,6
2021-03-25,6
2021-03-26,3
2021-03-27,4
2021-03-28,4
2021-03-29,2
2021-03-30,4
2021-03-31,5
2021-04-01,4
2021-04-02,3
2021-04-03,2
2021-04-04,6
2021-04-05,6
2021-04-06,3
2021-04-07,5
2021-04-08,6
2021-04-09,5
2021-04-10,3
2021-04-11,3
2021-04-12,6
2021-04-13,4
2021-04-14,5
2021-04-15,5
2021-04-16,3
2021-04-17,4
2021-04-18,3
2021-04-19,4
2021-04-20,6
2021-04-21,1
2021-04-22,2
2021-04-23,1
2021-04-24,2
2021-04-25,1
2021-04-26,2
2021-04-27,2
2021-04-28,4
2021-04-29,3
2021-04-30,3
2021-05-01,2
2021-05-02,2
2021-05-03,2
2021-05-04,2
2021-05-05,2
2021-05-06,3
2021-05-07,1
2021-05-08,2
2021-05-09,2
2021-05-10,3
2021-05-11,3
2021-05-12,2
2021-05-13,2
2021-05-14,3
2021-05-15,2
2021-05-16,2
2021-05-17,2
2021-05-18,2
2021-05-19,3
2021-05-20,3
2021-05-21,1
2021-05-22,3
2021-05-23,3
2021-05-24,1
2021-05-25,1
2021-05-26,1
2021-05-27,1
2021-05-28,1
2021-05-29,1
2021-05-30,1
2021-06-01,1
2021-06-02,2
2021-06-03,1
2021-06-04,2
2021-06-05,2
2021-06-06,1
2021-06-07,2
2021-06-08,2
2021-06-09,2
2021-06-10,2
2021-06-11,2
2021-06-12,1
2021-06-13,2
2021-06-14,1
2021-06-15,2
2021-06-16,2
2021-06-17,2
2021-06-18,1
2021-06-19,1
2021-06-20,3
2021-06-22,2
2021-06-23,1
2021-06-24,2
2021-06-25,2
2021-06-26,1
2021-06-27,2
2021-06-28,2
2021-06-29,1
2021-06-30,3
2021-07-01,2
2021-07-02,2
2021-07-03,1
2021-07-04,2
2021-07-05,1
2021-07-06,3
2021-07-07,2
2021-07-08,2
2021-07-10,2
2021-07-11,3
2021-07-12,2
2021-07-13,2
2021-07-14,1
2021-07-15,2
2021-07-16,2
2021-07-17,1
2021-07-18,1
2021-07-19,3
2021-07-20,1
2021-07-21,1
2021-07-23,2
2021-07-24,1
2021-07-25,2
2021-07-26,2
2021-07-28,2
2021-07-29,2
2021-07-30,1
2021-07-31,2
2021-08-01,1
2021-08-02,2
2021-08-03,1
2021-08-04,1
2021-08-05,2
2021-08-06,2
2021-08-07,1
2021-08-08,2
2021-08-09,2
2021-08-10,1
2021-08-11,2
2021-08-12,1
2021-08-13,1
2021-08-14,2
2021-08-15,3
2021-08-16,2
2021-08-17,2
2021-08-18,1
2021-08-19,2
2021-08-21,2
2021-08-22,2
2021-08-23,2
2021-08-24,1
2021-08-25,2
2021-08-26,2
2021-08-27,1
2021-08-28,1
2021-08-29,2
2021-08-30,1
2021-08-31,1
2021-09-01,1
2021-09-02,2
2021-09-03,2
2021-09-04,1
2021-09-05,2
2021-09-07,2
2021-09-09,1
2021-09-10,2
2021-09-12,3
2021-09-13,1
2021-09-14,1
2021-09-15,2
2021-09-16,2
2021-09-17,2
2021-09-18,2
2021-09-19,2
2021-09-20,1
2021-09-21,2
2021-09-22,2
2021-09-23,2
2021-09-24,2
2021-09-25,2
2021-09-26,2
2021-09-28,1
2021-09-29,1
2021-09-30,1
2021-10-01,1
2021-10-02,2
2021-10-03,1
2021-10-05,1
2021-10-06,2
2021-10-07,2
2021-10-08,1
2021-10-09,1
2021-10-11,1
2021-10-12,2
2021-10-13,1
2021-10-14,2
2021-10-15,2
2021-10-16,1
2021-10-17,2
2021-10-18,1
2021-10-19,1
2021-10-20,1
2021-10-21,1
2021-10-22,2
2021-10-24,2
2021-10-25,2
2021-10-26,1
2021-10-27,1
2021-10-28,2
2021-10-29,1
2021-10-30,1
2021-10-31,2
2021-11-01,1
2021-11-02,2
2021-11-03,2
2021-11-05,1
2021-11-07,1
2021-11-08,2
2021-11-09,1
2021-11-11,1
2021-11-14,2
2021-11-15,1
2021-11-17,1
2021-11-19,1
2021-11-21,2
2021-11-23,1
2021-11-24,1
2021-11-26,1
2021-11-28,1
2021-11-30,1
2021-12-05,1
2021-12-09,2
2021-12-10,1
2021-12-11,1
2021-12-12,1
2021-12-15,2
2021-12-16,1
2021-12-17,1
2021-12-18,1
2021-12-20,1
2021-12-21,1
2021-12-24,1
2021-12-28,1
2021-12-29,1
2021-12-31,1
2022-01-03,1
2022-01-05,1
2022-01-07,1
2022-01-08,1
2022-01-10,2
2022-01-13,1
2022-01-15,1
2022-01-16,1
2022-01-18,1
2022-01-20,1
2022-01-21,1
2022-01-24,1
2022-01-25,1
2022-02-02,1
2022-02-04,1
2022-02-07,1
2022-02-13,2
2022-02-19,1
2022-02-21,1
2022-02-24,1
2022-02-28,1
2022-03-06,1
2022-03-07,1
2022-03-09,1
2022-03-10,1
2022-03-11,1
2022-03-12,2
2022-03-13,2
2022-03-16,1
2022-03-18,1
2022-03-20,1
2022-03-21,1
2022-03-23,2
2022-03-26,1
2022-03-28,1
2022-03-31,1
2022-04-01,1
2022-04-02,1
2022-04-03,1
2022-04-05,1
2022-04-06,1
2022-04-07,1
2022-04-10,2
2022-04-11,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-15,1
2022-04-16,1
2022-04-17,2
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-23,1
2022-04-24,1
2022-04-25,1
2022-04-26,1
2022-04-27,1
2022-04-28,1
2022-04-30,1
2022-05-02,1
2022-05-03,1
2022-05-04,1
2022-05-06,1
2022-05-07,1
2022-05-08,2
2022-05-09,1
2022-05-12,1
2022-05-13,1
2022-05-14,1
2022-05-15,1
2022-05-16,2
2022-05-17,1
2022-05-19,1
2022-05-20,1
2022-05-22,1
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-05-30,1
2022-05-31,1
2022-06-01,2
2022-06-03,1
2022-06-04,1
2022-06-06,1
2022-06-07,2
2022-06-08,1
2022-06-13,1
2022-06-15,1
2022-06-16,1
2022-06-17,1
2022-06-18,1
2022-06-20,1
2022-06-21,1
2022-06-22,1
2022-06-23,1
2022-06-24,1
2022-06-25,1
2022-06-26,1
2022-06-27,1
2022-06-28,1
2022-06-29,1
2022-07-01,2
2022-07-02,2
2022-07-03,1
2022-07-05,2
2022-07-06,1
2022-07-07,1
2022-07-08,1
2022-07-09,1
2022-07-10,1
2022-07-11,1
2022-07-12,2
2022-07-13,1
2022-07-14,1
