date,plays
2022-04-19,1
2022-04-20,2
2022-04-21,1
2022-04-22,2
2022-04-23,4
2022-04-24,3
2022-04-25,3
2022-04-26,4
2022-04-27,4
2022-04-28,4
2022-04-29,3
2022-04-30,3
2022-05-01,4
2022-05-02,3
2022-05-03,5
2022-05-04,4
2022-05-05,5
2022-05-06,2
2022-05-07,5
2022-05-08,4
2022-05-09,5
2022-05-10,5
2022-05-11,4
2022-05-12,5
2022-05-13,4
2022-05-14,6
2022-05-15,4
2022-05-16,4
2022-05-17,5
2022-05-18,5
2022-05-19,4
2022-05-20,5
2022-05-21,4
2022-05-22,5
2022-05-23,5
2022-05-24,4
2022-05-25,4
2022-05-26,3
2022-05-27,3
2022-05-28,2
2022-05-29,4
2022-05-30,4
2022-05-31,4
2022-06-01,4
2022-06-02,4
2022-06-03,2
2022-06-04,4
2022-06-05,3
2022-06-06,3
2022-06-07,4
2022-06-08,4
2022-06-09,3
2022-06-10,3
2022-06-11,3
2022-06-12,4
2022-06-13,3
2022-06-14,2
2022-06-15,3
2022-06-16,3
2022-06-17,3
2022-06-18,3
2022-06-19,2
2022-06-20,3
2022-06-21,4
2022-06-22,2
2022-06-23,3
2022-06-24,4
2022-06-25,2
2022-06-26,1
2022-06-27,3
2022-06-28,2
2022-06-29,3
2022-06-30,2
2022-07-01,2
2022-07-02,2
2022-07-03,2
2022-07-04,3
2022-07-05,2
2022-07-06,3
2022-07-07,3
2022-07-08,2
2022-07-09,3
2022-07-10,2
2022-07-11,1
2022-07-12,3
2022-07-13,2
2022-07-14,2
